"","codes","lat","long"
"46","BQN",18.4948611111111,-67.1294444444444
"47","BRD",46.4042222222222,-94.1338055555556
"48","BRO",25.9061388888889,-97.426
"49","BRW",71.2848611111111,-156.768583333333
"50","BTM",45.9548055555556,-112.497472222222
"51","BTR",30.5329166666667,-91.1498888888889
"52","BTV",44.471955,-73.1532761111111
"53","BUF",42.9404166666667,-78.7305833333333
"54","BUR",34.2006944444444,-118.358666666667
"55","BWI",39.1757283333333,-76.6689911111111
"56","BZN",45.7772357777778,-111.150260277778
"57","CAE",33.9388377777778,-81.1195361111111
"58","CAK",40.9150555555556,-81.4436388888889
"59","CDC",37.70097,-113.098850833333
"60","CDV",60.4916397222222,-145.477557777778
"61","CGI",37.2253055555556,-89.57075
"62","CHA",35.0351944444444,-85.2035555555556
"63","CHO",38.1396427777778,-78.4523441666667
"64","CHS",32.8986388888889,-80.0405277777778
"65","CID",41.8846885833333,-91.7107986111111
"66","CIU",46.2507516666667,-84.4723841666667
"67","CKB",39.2976547222222,-80.2275319444444
"68","CLE",41.4094069444444,-81.8546911111111
"69","CLL",30.5880418888889,-96.3625444444444
"70","CLT",35.21375,-80.9490555555555
"71","CMH",39.9969466666667,-82.8921591666667
"72","CMI",40.0385608333333,-88.2765391666667
"73","CMX",47.1684163888889,-88.4890686111111
"74","CNY",38.7576311111111,-109.753462777778
"75","COD",44.5201944444444,-109.023805555556
"76","COS",38.8058130555556,-104.700774722222
"77","COU",38.8177355555556,-92.2177922222222
"78","CPR",42.9058611111111,-106.463638888889
"79","CRP",27.7721944444444,-97.5024166666667
"80","CRW",38.3760130555556,-81.5928936111111
"81","CSG",32.5163333333333,-84.9388611111111
"82","CVG",39.0488375,-84.6678208333333
"83","CWA",44.7776236666667,-89.6667780277778
"84","CYS",41.1556388888889,-104.810472222222
"85","DAB",29.1799088888889,-81.0580422222222
"86","DAL",32.8459447222222,-96.8508766666667
"87","DAY",39.9022522222222,-84.2194122222222
"88","DBQ",42.402,-90.7094722222222
"89","DCA",38.8514444444444,-77.0377222222222
"90","DEN",39.8616666666667,-104.673166666667
"91","DFW",32.8972330555556,-97.0376947222222
"92","DHN",31.3210277777778,-85.4494722222222
"93","DLG",59.0446666666667,-158.5055
"94","DLH",46.84206975,-92.1932372222222
"95","DRO",37.1515277777778,-107.753777777778
"96","DRT",29.3742069444444,-100.927156944444
"97","DSM",41.5339727777778,-93.6630719444445
"98","DTW",42.2124444444444,-83.3533888888889
"99","DVL",48.1165833333333,-98.91
"100","EAR",40.7270405555556,-99.00677
"101","EAU",44.8658055555556,-91.48425
"102","ECP",30.3582408333333,-85.7956022222222
"103","EGE",39.64275,-106.915944444444
"104","EKO",40.825,-115.791333333333
"105","ELM",42.1598561388889,-76.8917456666667
"106","ELP",31.8073333333333,-106.376361111111
"107","ERI",42.0830833333333,-80.1739444444444
"108","ESC",45.722675,-87.0937166666667
"109","EUG",44.1245833333333,-123.211972222222
"110","EVV",38.0408055555556,-87.5285
"111","EWN",35.0728544444444,-77.0430197222222
"112","EWR",40.6924798333333,-74.1686867777778
"113","EYW",24.5561197222222,-81.7599558333333
"114","FAI",64.8153543888889,-147.856659166667
"115","FAR",46.9206388888889,-96.81575
"116","FAT",36.7765555555556,-119.718833333333
"117","FAY",34.9912111111111,-78.8802741666667
"348","FCA",48.3077,-114.2525
"118","FLG",35.1403158333333,-111.669241388889
"119","FLL",26.0716666666667,-80.1496944444444
"120","FNT",42.9654722222222,-83.74475
"121","FSD",43.5820133333333,-96.7419163888889
"122","FSM",35.3365833333333,-94.3674444444444
"123","FWA",40.9784722222222,-85.1951666666667
"124","GCC",44.3489080555556,-105.5393675
"125","GCK",37.9275277777778,-100.724416666667
"126","GEG",47.6190277777778,-117.535222222222
"127","GFK",47.9472777777778,-97.1737777777778
"128","GGG",32.384,-94.7115
"129","GJT",39.1224166666667,-108.52675
"130","GNV",29.6900555555556,-82.2717777777778
"131","GPT",30.4072691666667,-89.0700958333333
"132","GRB",44.4846336111111,-88.1297133333333
"133","GRI",40.9675425,-98.3096388888889
"134","GRK",31.06725,-97.8289166666667
"135","GRR",42.8808333333333,-85.5228055555555
"136","GSO",36.1013266666667,-79.9411227777778
"137","GSP",34.8956711111111,-82.2188594444444
"138","GST",58.4252777777778,-135.707416666667
"139","GTF",47.4822992777778,-111.370279416667
"140","GTR",33.4482777777778,-88.5913888888889
"141","GUC",38.5343333333333,-106.93175
"142","GUM",13.4839506666667,144.797127111111
"143","HDN",40.4811944444444,-107.217666666667
"144","HGR",39.7085,-77.7265
"347","HHH",32.2248,-80.6972
"145","HIB",47.386575,-92.8389780555556
"146","HLN",46.6067222222222,-111.983277777778
"147","HNL",21.3178172222222,-157.9202275
"148","HOB",32.6875,-103.217333333333
"149","HOU",29.6457998333333,-95.2772315833333
"150","HPN",41.0669530555556,-73.7075661111111
"151","HRL",26.2271111111111,-97.6551388888889
"152","HSV",34.6371969444444,-86.7750541666667
"153","HTS",38.3685078055556,-82.5603602222222
"154","HVN",41.2637494444444,-72.8868005555556
"155","HYA",41.6693372222222,-70.2803591666667
"156","HYS",38.8422222222222,-99.2731666666667
"157","IAD",38.9474444444444,-77.4599444444444
"158","IAG",43.1075573611111,-78.9458466666667
"159","IAH",29.9844352777778,-95.3414425
"160","ICT",37.6499444444444,-97.4330555555556
"161","IDA",43.5136733333333,-112.070820277778
"162","ILM",34.2711388888889,-77.9028888888889
"163","IMT",45.8183611111111,-88.1145555555556
"164","IND",39.7173055555556,-86.2946388888889
"165","INL",48.5655877777778,-93.4021791666667
"354","ISN",48.1776,-103.6376
"166","ISP",40.7961356944444,-73.1006650555556
"167","ITH",42.4913611111111,-76.4587222222222
"168","ITO",19.720263,-155.048470138889
"169","JAC",43.6073333333333,-110.73775
"170","JAN",32.3111666666667,-90.0758888888889
"171","JAX",30.4940455555556,-81.6878466666667
"172","JFK",40.6399277777778,-73.7786925
"173","JLN",37.1531675,-94.4988083333333
"174","JMS",46.9297222222222,-98.6781944444444
"175","JNU",58.3547118055556,-134.578470527778
"176","KOA",19.7387658333333,-156.045631388889
"177","KTN",55.3540833333333,-131.711222222222
"178","LAN",42.7786388888889,-84.5861944444444
"179","LAR",41.3120555555556,-105.675
"180","LAS",36.0800438888889,-115.152234722222
"181","LAW",34.5677144444444,-98.4166366666667
"182","LAX",33.9424963888889,-118.408048611111
"183","LBB",33.6636666666667,-101.820555555556
"184","LBE",40.2731005,-79.4103255555556
"185","LBF",41.1262127777778,-100.683653055556
"186","LBL",37.0439166666667,-100.959972222222
"187","LCH",30.1260833333333,-93.2234166666667
"188","LCK",39.8137777777778,-82.9278055555556
"189","LEX",38.03675,-84.6086388888889
"190","LFT",30.2050277777778,-91.98775
"191","LGA",40.77725,-73.8726111111111
"192","LGB",33.8179297222222,-118.151890555556
"193","LIH",21.9759833333333,-159.338957777778
"194","LIT",34.7294406111111,-92.2247768888889
"195","LNK",40.8508888888889,-96.7591111111111
"196","LRD",27.5441944444444,-99.4615833333333
"197","LSE",43.8792656666667,-91.2566336111111
